Links to profile,Name Account/Influencer,Professional Activity,Nationality,Brand,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Publication number,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,60,Nice dinner with a good friend.,14552,1 085 797,2015-04-02T21:19:50.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,61,I'm proud to have my @tagheuer Special edition! #DontCrackUnderPressure,16423,863 832,2015-03-19T16:16:38.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,62,"O nosso brazão. As nossas cores. O nosso orgulho. Com que nome vais apoiar-nos? Põe o teu nome na nova camisola da Seleção. Nike.com/football

Our badge. Our colours. Our pride. What name are you going to support us with? Put your name on the new national team jersey. Nike.com/football",14058,1 034 817,2015-03-24T17:07:36.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,63,"Did you see what I did to @RicardoQuaresmaOficial's car on @nikefootball’s Snapchat?! And yes Quaresma, it’s still funny!!😂",26029,1 291 180,2015-03-26T16:11:28.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,64,Happy to have scored 5 goals with this excelent team work. Thank you for all your support. Happy Easter!,40983,1 503 724,2015-04-05T13:24:20.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,65,Exercise all you can! It's good for your body and your mind!,25384,1 398 459,2015-04-06T20:49:59.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,66,"Good news about my #CR7Underwear. Microfiber fabric is now available, making it very comfortable, light and soft. Hope you like it!",52636,1 030 484,2015-04-09T15:45:54.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,67,Celebrating the birthday of a great friend.,13150,972 178,2015-04-09T21:43:29.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,68,"Go for gold with my exclusive #CR7Footwear Gold Edition- truly beautiful, individually numbered and limited edition www.CR7Footwear.com
#Cerciguibenefit",11817,914 977,2015-04-20T14:58:45.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,69,"It is fantastic to hear our son wishing ""Good luck Dad!""",20565,1 445 620,2015-04-21T18:10:28.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,70,Celebrating this important win with my friends.,18617,1 178 768,2015-04-22T23:36:23.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,71,Another important step in this UEFA Champions League competition. Thanks for your support. #HalaMadrid,18067,1 238 618,2015-04-22T22:08:55.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,72,Which pair of #CR7Underwear should I wear today? Help me choose!,30003,1 120 935,2015-05-20T06:50:29.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,73,"Nice time to have my favourite hand.
7♥ 7 ♣
‪#fullhouse‬ ‪#CR7‬ ‪#poker‬",31961,1 313 911,2015-05-03T17:00:26.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,74,"Pleased to be part of @SacoorBrothersME family, a Portuguese fashion brand where you can find the perfect look for any occasion. #PerfectMatch",17732,1 175 658,2015-05-07T13:03:27.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,75,"For me, optimal training and recovery is in the details. Good nutrition is at the core of my success. I’m excited to be working with @Herbalife24 sports nutrition. Big things to come! #CR7Drive",21403,1 314 582,2015-05-16T12:50:36.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,76,Hello all! Positive thoughts for the people in Nepal. Portugal and Nepal together!,15873,1 125 966,2015-06-15T14:23:07.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,77,Great coach and amazing person. Hope we work together next season.,22793,1 471 061,2015-05-23T21:13:44.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,78,I’ve joined the world’s best poker team! #PokerStars,14922,987 457,2015-05-27T11:04:19.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,79,The Summer is coming! Put your best foot forward and shine in my shoes! Discover my CR7 Collection at www.cr7footwear.com,17675,985 383,2015-05-29T11:54:34.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,80,Nice boat hein?,12368,1 089 985,2015-05-31T15:04:14.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,81,Who remembers this guy? Brings me back some childhood memories. Now you can play the game “Ronaldo&Hugo: Superstar Skaters”. Available for iOS and Android http://bit.ly/GETsuperstars,13376,1 010 518,2015-06-04T17:03:58.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,82,Exciting news to share with you tomorrow. Can’t wait!,7125,802 253,2015-06-08T16:16:22.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,83,I’m happy to confirm that there’s a film being produced about me. Stay tuned for more info at www.facebook.com/RonaldoFilm,14467,1 034 957,2015-06-09T13:08:28.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,84,Sixpad launch in Tokyo!,9359,1 111 810,2015-07-08T09:04:20.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,85,Introducing MTG Sixpad in China.,5040,893 008,2015-07-09T14:46:15.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,86,It’s time to get to work. Get your @niketraining Free Trainer 3.0’s here: nike.com/training,10237,1 097 598,2015-07-09T11:53:15.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,87,"It’s about the bold choices we make that embrace risk, inspire courage and drive you further. What drives you? @Herbalife @Herbalife24 #CR7Drive",14463,1 196 149,2015-07-10T12:42:13.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,88,Celebrating my son's 5th birthday.,25654,1 544 032,2015-06-18T00:22:47.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,89,I will be releasing my very own fragrance later this Summer. How exciting! More news soon!,10725,1 035 035,2015-06-18T14:06:56.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,90,The moments with my son are always amazing. You can see some special moments with him in the new film.,23333,1 560 319,2015-06-21T12:07:24.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,91,Loving my new CR7 chips from PokerStars.,8288,836 180,2015-06-30T14:04:24.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,92,Can’t wait to workout off the pitch in these special @niketraining CR7 trainers. Available only in Europe exclusively through the Nike Football App. #nikefree,11756,1 093 071,2015-07-02T16:57:52.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,93,Amazing vacations with great friends.,8803,1 034 286,2015-07-03T19:09:55.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,94,Eat healty 🍴🔝,8117,787 718,2015-08-04T20:46:48.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,95,Chilling with my mate👌🔝,6643,964 540,2015-07-31T22:36:25.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,96,Dinner with my love ❤️😍,16801,1 422 314,2015-08-01T21:50:27.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,97,Travel with my bros👍👌⚽️,5465,1 011 511,2015-08-01T18:20:41.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,98,Ready to break some hearts💔😜😆😆😈,15576,1 143 297,2015-08-02T13:46:32.000Z,Photo
