Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4HpQpFgc9z/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4K6HyFA0hM/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4QlEFiJaqL/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4SDDWCAWbd/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4YWUAngxj4/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4apv-qIrSe/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4fNb8TgNIY/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4ijEtIgn6F/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4mvjM5gJ_N/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4nW58yAVMn/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4uRU4fgihs/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
